Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,New Zealand,NZL,1.71
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nicaragua,NIC,2.404
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Niger,NER,6.913
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nigeria,NGA,5.387
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,North Macedonia,MKD,1.496
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Northern Mariana Islands,MNP,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Norway,NOR,1.62
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Oman,OMN,2.888
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Pakistan,PAK,3.51
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Palau,PLW,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Panama,PAN,2.461
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Papua New Guinea,PNG,3.564
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Paraguay,PRY,2.429
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Peru,PER,2.254
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Philippines,PHL,2.576
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Poland,POL,1.48
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Portugal,PRT,1.38
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Puerto Rico,PRI,1.035
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Qatar,QAT,1.866
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Romania,ROU,1.71
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Russian Federation,RUS,1.57
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Rwanda,RWA,4.044
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Samoa,WSM,3.877
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,San Marino,SMR,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sao Tome and Principe,STP,4.321
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Saudi Arabia,SAU,2.319
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Senegal,SEN,4.625
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Serbia,SRB,1.49
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Seychelles,SYC,2.41
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sierra Leone,SLE,4.263
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Singapore,SGP,1.14
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sint Maarten (Dutch part),SXM,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Slovak Republic,SVK,1.52
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Slovenia,SVN,1.62
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Solomon Islands,SLB,4.403
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Somalia,SOM,6.072
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,South Africa,ZAF,2.405
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,South Sudan,SSD,4.696
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Spain,ESP,1.31
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sri Lanka,LKA,2.199
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,St. Kitts and Nevis,KNA,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,St. Lucia,LCA,1.436
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,St. Martin (French part),MAF,1.81
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,St. Vincent and the Grenadines,VCT,1.891
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sudan,SDN,4.407
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Suriname,SUR,2.418
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sweden,SWE,1.78
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Switzerland,CHE,1.52
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Syrian Arab Republic,SYR,2.808
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tajikistan,TJK,3.585
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tanzania,TZA,4.892
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Thailand,THA,1.525
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Timor-Leste,TLS,4.023
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Togo,TGO,4.32
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tonga,TON,3.556
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Trinidad and Tobago,TTO,1.725
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tunisia,TUN,2.197
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Turkey,TUR,2.069
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Turkmenistan,TKM,2.786
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Turks and Caicos Islands,TCA,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tuvalu,TUV,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Uganda,UGA,4.955
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ukraine,UKR,1.301
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,United Arab Emirates,ARE,1.413
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,United Kingdom,GBR,1.74
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,United States,USA,1.7295
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Uruguay,URY,1.973
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Uzbekistan,UZB,2.419
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Vanuatu,VUT,3.782
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Venezuela, RB",VEN,2.272
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Vietnam,VNM,2.049
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Virgin Islands (U.S.),VIR,2.06
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,West Bank and Gaza,PSE,3.643
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Yemen, Rep.",YEM,3.792
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Zambia,ZMB,4.633
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Zimbabwe,ZWE,3.615
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,..
